FILE_NAME=Trajectory_StowToL4.csv,T=0.4,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
1.100000000000000006e-01,3.032414683917969422e-01,-1.039842048265958567e+02,2.927649916544242892e+00,-5.941170527844112925e+00
1.110000000000000014e-01,3.061691183083411483e-01,-1.043246088232088482e+02,2.915470176225952059e+00,-6.021800886734225422e+00
1.120000000000000023e-01,3.090845884845671576e-01,-1.046696325990868530e+02,2.903304967614504406e+00,-6.101731187615954788e+00
1.130000000000000032e-01,3.119878934521816416e-01,-1.050192360438606016e+02,2.891154289493380158e+00,-6.180961438482332149e+00
1.140000000000000041e-01,3.148790477416750222e-01,-1.053733790476187409e+02,2.879018140647510826e+00,-6.259491647256381519e+00
1.150000000000000050e-01,3.177580658823225268e-01,-1.057320215009039259e+02,2.866896519863281423e+00,-6.337321821791125132e+00
1.160000000000000059e-01,3.206249624021857980e-01,-1.060951232947087135e+02,2.854789425928530466e+00,-6.414451969869579884e+00
1.170000000000000068e-01,3.234797518281143369e-01,-1.064626443204716111e+02,2.842696857632547758e+00,-6.490882099204760891e+00
1.180000000000000077e-01,3.263224486857468909e-01,-1.068345444700730553e+02,2.830618813766077047e+00,-6.566612217439680599e+00
1.190000000000000085e-01,3.291530674995129524e-01,-1.072107836358314046e+02,2.818555293121313809e+00,-6.641642332147350558e+00
1.199999999999999956e-01,3.319716227926342578e-01,-1.075913217104988746e+02,2.806506294491905695e+00,-6.715972450830783202e+00
1.209999999999999964e-01,3.347781290871261750e-01,-1.079761185872576164e+02,2.794471816672953857e+00,-6.789602580922989183e+00
1.219999999999999973e-01,3.375726009037991471e-01,-1.083651341597156232e+02,2.782451858461009397e+00,-6.862532729786982699e+00
1.229999999999999982e-01,3.403550527622601907e-01,-1.087583283219028090e+02,2.770446418654076925e+00,-6.934762904715777942e+00
1.239999999999999991e-01,3.431254991809142285e-01,-1.091556609682669006e+02,2.758455496051612332e+00,-7.006293112932391765e+00
1.250000000000000000e-01,3.458839546769658102e-01,-1.095570919936694878e+02,2.746479089454523237e+00,-7.077123361589847228e+00
1.260000000000000009e-01,3.486304337664203334e-01,-1.099625812933820441e+02,2.734517197665169430e+00,-7.147253657771167390e+00
1.270000000000000018e-01,3.513649509640854873e-01,-1.103720887630817629e+02,2.722569819487361098e+00,-7.216684008489382407e+00
1.280000000000000027e-01,3.540875207835728622e-01,-1.107855742988477488e+02,2.710636953726361043e+00,-7.285414420687525983e+00
1.290000000000000036e-01,3.567981577372992263e-01,-1.112029977971569110e+02,2.698718599188882905e+00,-7.353444901238641584e+00
1.300000000000000044e-01,3.594968763364881359e-01,-1.116243191548798706e+02,2.686814754683090278e+00,-7.420775456945776227e+00
1.310000000000000053e-01,3.621836910911712115e-01,-1.120494982692771373e+02,2.674925419018598927e+00,-7.487406094541984913e+00
1.320000000000000062e-01,3.648586165101898038e-01,-1.124784950379949180e+02,2.663050591006475898e+00,-7.553336820690331521e+00
1.330000000000000071e-01,3.675216671011962699e-01,-1.129112693590612366e+02,2.651190269459237747e+00,-7.618567641983889693e+00
1.340000000000000080e-01,3.701728573706554726e-01,-1.133477811308818559e+02,2.639344453190853201e+00,-7.683098564945741060e+00
1.350000000000000089e-01,3.728122018238463342e-01,-1.137879902522362698e+02,2.627513141016739606e+00,-7.746929596028977905e+00
1.360000000000000098e-01,3.754397149648630583e-01,-1.142318566222737246e+02,2.615696331753766479e+00,-7.810060741616703162e+00
1.370000000000000107e-01,3.780554112966167946e-01,-1.146793401405091686e+02,2.603894024220252401e+00,-7.872492008022031307e+00
1.380000000000000115e-01,3.806593053208370270e-01,-1.151304007068193158e+02,2.592106217235966792e+00,-7.934223401488089245e+00
1.390000000000000124e-01,3.832514115380730169e-01,-1.155849982214385108e+02,2.580332909622129023e+00,-7.995254928188016308e+00
1.400000000000000133e-01,3.858317444476951907e-01,-1.160430925849548629e+02,2.568574100201408417e+00,-8.055586594224966035e+00
1.410000000000000142e-01,3.884003185478965836e-01,-1.165046436983061113e+02,2.556829787797923803e+00,-8.115218405632102616e+00
1.420000000000000151e-01,3.909571483356945043e-01,-1.169696114627757311e+02,2.545099971237243963e+00,-8.174150368372609776e+00
1.430000000000000160e-01,3.935022483069317012e-01,-1.174379557799887692e+02,2.533384649346387629e+00,-8.232382488339682780e+00
1.440000000000000169e-01,3.960356329562781386e-01,-1.179096365519080649e+02,2.521683820953822153e+00,-8.289914771356531986e+00
1.449999999999999900e-01,3.985573167772319403e-01,-1.183846136808299576e+02,2.509997484889465280e+00,-8.346747223176389952e+00
1.459999999999999909e-01,4.010673142621213882e-01,-1.188628470693804928e+02,2.498325639984682489e+00,-8.402879849482497221e+00
1.469999999999999918e-01,4.035656399021060881e-01,-1.193442966205113578e+02,2.486668285072290097e+00,-8.458312655888118314e+00
1.479999999999999927e-01,4.060523081871783568e-01,-1.198289222374958456e+02,2.475025418986552150e+00,-8.513045647936534621e+00
1.489999999999999936e-01,4.085273336061649441e-01,-1.203166838239248335e+02,2.463397040563182649e+00,-8.567078831101044400e+00
1.499999999999999944e-01,4.109907306467281418e-01,-1.208075412837027898e+02,2.451783148639342436e+00,-8.620412210784964557e+00
1.509999999999999953e-01,4.134425137953675056e-01,-1.213014545210438229e+02,2.440183742053643190e+00,-8.673045792321635972e+00
1.519999999999999962e-01,4.158826975374211865e-01,-1.217983834404675321e+02,2.428598819646144769e+00,-8.724979580974414617e+00
1.529999999999999971e-01,4.183112963570673193e-01,-1.222982879467951989e+02,2.417028380258353870e+00,-8.776213581936680441e+00
1.539999999999999980e-01,4.207283247373256874e-01,-1.228011279451455380e+02,2.405472422733227145e+00,-8.826747800331833815e+00
1.549999999999999989e-01,4.231337971600588888e-01,-1.233068633409309598e+02,2.393930945915169417e+00,-8.876582241213295532e+00
1.559999999999999998e-01,4.255277281059740568e-01,-1.238154540398532362e+02,2.382403948650031911e+00,-8.925716909564510360e+00
1.570000000000000007e-01,4.279101320546240816e-01,-1.243268599478998482e+02,2.370891429785115356e+00,-8.974151810298947041e+00
1.580000000000000016e-01,4.302810234844091641e-01,-1.248410409713396518e+02,2.359393388169167771e+00,-9.021886948260092964e+00
1.590000000000000024e-01,4.326404168725783705e-01,-1.253579570167191406e+02,2.347909822652385348e+00,-9.068922328221461271e+00
1.600000000000000033e-01,4.349883266952307981e-01,-1.258775679908581537e+02,2.336440732086411121e+00,-9.115257954886592628e+00
1.610000000000000042e-01,4.373247674273171848e-01,-1.263998338008462099e+02,2.324986115324336300e+00,-9.160893832889046351e+00
1.620000000000000051e-01,4.396497535426414638e-01,-1.269247143540381586e+02,2.313545971220698938e+00,-9.205829966792414609e+00
1.630000000000000060e-01,4.419632995138622067e-01,-1.274521695580504144e+02,2.302120298631485262e+00,-9.250066361090306444e+00
1.640000000000000069e-01,4.442654198124936782e-01,-1.279821593207568213e+02,2.290709096414127011e+00,-9.293603020206365528e+00
1.650000000000000078e-01,4.465561289089078345e-01,-1.285146435502846884e+02,2.279312363427504540e+00,-9.336439948494254182e+00
1.660000000000000087e-01,4.488354412723353226e-01,-1.290495821550107678e+02,2.267930098531944161e+00,-9.378577150237667581e+00
1.670000000000000095e-01,4.511033713708672566e-01,-1.295869350435572187e+02,2.256562300589219916e+00,-9.420014629650324878e+00
1.680000000000000104e-01,4.533599336714564942e-01,-1.301266621247876571e+02,2.245208968462552246e+00,-9.460752390875972750e+00
1.690000000000000113e-01,4.556051426399190807e-01,-1.306687233078031625e+02,2.233870101016607101e+00,-9.500790437988388959e+00
1.700000000000000122e-01,4.578390127409356913e-01,-1.312130785019381563e+02,2.222545697117498165e+00,-9.540128774991377014e+00
1.710000000000000131e-01,4.600615584380531864e-01,-1.317596876167564801e+02,2.211235755632785072e+00,-9.578767405818771508e+00
1.720000000000000140e-01,4.622727941936859986e-01,-1.323085105620473314e+02,2.199940275431473413e+00,-9.616706334334438111e+00
1.730000000000000149e-01,4.644727344691174653e-01,-1.328595072478214547e+02,2.188659255384016067e+00,-9.653945564332264695e+00
