FILE_NAME=Trajectory_L4ToStow.csv,T=0.54,dt=0.001,h0=0.7,hf=0.0,theta0_deg=-235.0,thetaf_deg=-93.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.3,penalty_strength=100000000.0
time,height,angle_deg,dh,dtheta_rad_s
2.770000000000000240e-01,6.206336283543172350e-01,-1.355081306501941754e+02,-1.182630550641404099e+00,7.909540446744664166e+00
2.780000000000000249e-01,6.194509978036757403e-01,-1.350549473647076866e+02,-1.193483142248576767e+00,7.887490997159211759e+00
2.790000000000000258e-01,6.182575146614271988e-01,-1.346030274196230039e+02,-1.204383165294661051e+00,7.865077520355412410e+00
2.800000000000000266e-01,6.170531314961326119e-01,-1.341523916721634180e+02,-1.215330620869659928e+00,7.842300014091918570e+00
2.810000000000000275e-01,6.158378008752629640e-01,-1.337030609796805720e+02,-1.226325510068318803e+00,7.819158476090978027e+00
2.820000000000000284e-01,6.146114753651946705e-01,-1.332550561996566216e+02,-1.237367833990126398e+00,7.795652904038439246e+00
2.830000000000000293e-01,6.133741075312044710e-01,-1.328083981897063097e+02,-1.248457593739314975e+00,7.771783295583743367e+00
2.840000000000000302e-01,6.121256499374652105e-01,-1.323631078075790981e+02,-1.259594790424860999e+00,7.747549648339929540e+00
2.850000000000000311e-01,6.108660551470403988e-01,-1.319192059111611286e+02,-1.270779425160483811e+00,7.722951959883634032e+00
2.860000000000000320e-01,6.095952757218798812e-01,-1.314767133584775252e+02,-1.282011499064646731e+00,7.697990227755088455e+00
2.870000000000000329e-01,6.083132642228151754e-01,-1.310356510076941845e+02,-1.293291013260557509e+00,7.672664449458118874e+00
2.880000000000000338e-01,6.070199732095546974e-01,-1.305960397171201919e+02,-1.304617968876167211e+00,7.646974622460146698e+00
2.889999999999999791e-01,6.057153552406785435e-01,-1.301579003452095833e+02,-1.315992367044171996e+00,7.620920744192189566e+00
2.899999999999999800e-01,6.043993628736343826e-01,-1.297212537505636760e+02,-1.327414208902010895e+00,7.594502812048859575e+00
2.909999999999999809e-01,6.030719486647323491e-01,-1.292861207919330297e+02,-1.338883495591868700e+00,7.567720823388365048e+00
2.919999999999999818e-01,6.017330651691403798e-01,-1.288525223282196350e+02,-1.350400228260673519e+00,7.540574775532504326e+00
2.929999999999999827e-01,6.003826649408797733e-01,-1.284204792184787891e+02,-1.361964408060099219e+00,7.513064665766675532e+00
2.939999999999999836e-01,5.990207005328197498e-01,-1.279900123219214976e+02,-1.373576036146563428e+00,7.485190491339865915e+00
